Organization,Completeness %,Contact Score %,People Score %,Missing Fields Count,Priority Missing Fields
"Unblocked",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Defang",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Fintel Connect",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Amass AI",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"AIMA Inc",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Advertising Intelligence (ADINT.AI)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"3DentAI",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"SandboxAQ (Good Chemistry Acquisition)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Thales Canada",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Simform",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Mobcoder",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Hugo Inc",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Persistent Systems",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Wayve",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Fujitsu Intelligence Technology",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Cloudburst Research",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Canexia Health (Imagia Canexia Health)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Nytilus Inc",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Inverted AI",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"HomeCourt (NEX Team)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Gaze AI",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Vision Critical (Alida)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Aspect Biosystems",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"MetaOptima",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Hootsuite",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Visier",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Produce8",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"RIVAL Technologies",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Bell Canada AI Data Centre Kamloops",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"TELUS Sovereign AI Factories",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Timezyx",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Terramera",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Open Ocean Robotics",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"ClearSpark AI",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Kanooq Industries Inc.",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Bonsai Micro",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"AIEX",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"CamDo Solutions Inc.",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"UnlockLand (Meton.ai product)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Meton.ai (UnlockLand parent company)",0,0,0,16,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"AQC 2025 Vancouver",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Tkmlps Development Corporation",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"UNBC Computer Science Department",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Northern Development Initiative Trust",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"TRU Computer Science Department",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"SFU Quantum Fabrication Centre",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Quantum Matter Institute",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Quantum BC",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Nirvanic Consciousness Technologies",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
"Indigenous Digital Equity Strategy BC",13,0,0,13,"Email; Website; LinkedIn URL; Phone; Primary Contact; Key People"
