Name,URL,Website,LinkedIn,Email,Phone,City/Region,BC Region,Category,AI Focus Areas,Year Founded,Size,Short Blurb,Key People,Latitude,Longitude,Logo,PercentComplete
"AI Tinkerers Vancouver - Profile","https://www.notion.so/AI-Tinkerers-Vancouver-Profile-1d4c6f799a33809ebb9cc9ab2a6654d3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"Audette","https://www.notion.so/Audette-245c6f799a3381beba33c1db4c3af0f4",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Nytilus","https://www.notion.so/Nytilus-245c6f799a3381f19fcde8cdd3bf3ec0",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Defang","https://www.notion.so/Defang-245c6f799a33813eab37f1a088a69fd0",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Kardium","https://www.notion.so/Kardium-245c6f799a338135aeb7ca9aa2d8367b",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Boreal Genomics","https://www.notion.so/Boreal-Genomics-245c6f799a338150889aded00fc1bab6",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Aspect Biosystems","https://www.notion.so/Aspect-Biosystems-245c6f799a338122a7a5f1f6866bff62",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Clarius Mobile Health","https://www.notion.so/Clarius-Mobile-Health-245c6f799a33819980dcf208bb79c9d3",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"WaitWell","https://www.notion.so/WaitWell-245c6f799a3381f191b6cd98b2a6dae7",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"Pharity AI","https://www.notion.so/Pharity-AI-245c6f799a33813fa5d7ce29ef4acc1e",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13
"1. **Unblocked**","https://www.notion.so/1-Unblocked-244c6f799a338161afb5fc9c3a727257",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"This Fish","https://www.notion.so/This-Fish-245c6f799a3381089431e7f34a6c4f7f",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Shade AI","https://www.notion.so/Shade-AI-245c6f799a338148adead05992155a08",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Mashup Machine","https://www.notion.so/Mashup-Machine-245c6f799a338162b81cde66fc88813e",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Motive.io","https://www.notion.so/Motive-io-245c6f799a3381c984cdf621e6015b61",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20
"Certn","https://www.notion.so/Certn-245c6f799a3381f786d6ebd67cb514d0",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20
"Cmd","https://www.notion.so/Cmd-245c6f799a33816b82e0dd85667d2157",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20
"Klue","https://www.notion.so/Klue-245c6f799a3381eaab76cb9e51d647a4",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20
"Trustworthy AI Lab / Trustworthy AI Lab - SFU","https://www.notion.so/Trustworthy-AI-Lab-Trustworthy-AI-Lab-SFU-244c6f799a33818590efe4276fd5d208",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20
"This Fish","https://www.notion.so/This-Fish-244c6f799a3381059293f75247fb6887",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Shade AI","https://www.notion.so/Shade-AI-244c6f799a3381c589b0f612dafa8d31",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"QuantumSense","https://www.notion.so/QuantumSense-240c6f799a338164ae8fc5fc4c6a1706",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"WasteFlow Technologies","https://www.notion.so/WasteFlow-Technologies-240c6f799a3381cd8799fc7da9d386c3",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"CreatorFlow Media","https://www.notion.so/CreatorFlow-Media-240c6f799a33819ea248e22edbb93c51",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"DataMesh Analytics","https://www.notion.so/DataMesh-Analytics-240c6f799a33819e9298c78c8f48bbfa",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"EnergyFlow Dynamics","https://www.notion.so/EnergyFlow-Dynamics-240c6f799a3381a68ae9f512f35b186e",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"SecureChain Labs","https://www.notion.so/SecureChain-Labs-240c6f799a33818fb495d05e80c45a92",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"GameFlow Studios","https://www.notion.so/GameFlow-Studios-240c6f799a3381bf9969fe3f53276a5e",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"AgriTech Innovations","https://www.notion.so/AgriTech-Innovations-240c6f799a3381b8ae2ddeca281e0ec9",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"SpaceLink Communications","https://www.notion.so/SpaceLink-Communications-240c6f799a3381c0a856f5f5f11ab0fb",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"HealthGraph AI","https://www.notion.so/HealthGraph-AI-240c6f799a338138b70ed83f06c26e73",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"Ocean Robotics Dynamics","https://www.notion.so/Ocean-Robotics-Dynamics-240c6f799a3381c4b7cac0a5d07cba35",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"FinFlow Systems","https://www.notion.so/FinFlow-Systems-240c6f799a33812eb9ffc028732a23cb",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"Immersive Learning Labs","https://www.notion.so/Immersive-Learning-Labs-240c6f799a3381efa69ac0ff825b71be",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
"CarbonFlow","https://www.notion.so/CarbonFlow-240c6f799a338186a8afeb60ac16378c",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20
