Name,URL,Website,LinkedIn,Email,Phone,City/Region,BC Region,Category,AI Focus Areas,Year Founded,Size,Short Blurb,Key People,Latitude,Longitude,Logo,PercentComplete
"QuantumSense","https://www.notion.so/QuantumSense-240c6f799a338164ae8fc5fc4c6a1706",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"WasteFlow Technologies","https://www.notion.so/WasteFlow-Technologies-240c6f799a3381cd8799fc7da9d386c3",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"CreatorFlow Media","https://www.notion.so/CreatorFlow-Media-240c6f799a33819ea248e22edbb93c51",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"DataMesh Analytics","https://www.notion.so/DataMesh-Analytics-240c6f799a33819e9298c78c8f48bbfa",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"EnergyFlow Dynamics","https://www.notion.so/EnergyFlow-Dynamics-240c6f799a3381a68ae9f512f35b186e",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"SecureChain Labs","https://www.notion.so/SecureChain-Labs-240c6f799a33818fb495d05e80c45a92",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"GameFlow Studios","https://www.notion.so/GameFlow-Studios-240c6f799a3381bf9969fe3f53276a5e",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"AgriTech Innovations","https://www.notion.so/AgriTech-Innovations-240c6f799a3381b8ae2ddeca281e0ec9",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"SpaceLink Communications","https://www.notion.so/SpaceLink-Communications-240c6f799a3381c0a856f5f5f11ab0fb",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"HealthGraph AI","https://www.notion.so/HealthGraph-AI-240c6f799a338138b70ed83f06c26e73",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"Ocean Robotics Dynamics","https://www.notion.so/Ocean-Robotics-Dynamics-240c6f799a3381c4b7cac0a5d07cba35",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"FinFlow Systems","https://www.notion.so/FinFlow-Systems-240c6f799a33812eb9ffc028732a23cb",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"Immersive Learning Labs","https://www.notion.so/Immersive-Learning-Labs-240c6f799a3381efa69ac0ff825b71be",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"CarbonFlow","https://www.notion.so/CarbonFlow-240c6f799a338186a8afeb60ac16378c",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"PropFlow AI","https://www.notion.so/PropFlow-AI-240c6f799a33817fbae8f0849b8d4803",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"Neural Therapeutics","https://www.notion.so/Neural-Therapeutics-240c6f799a3381fe9739ddab03f47139",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"CleanGrid Systems","https://www.notion.so/CleanGrid-Systems-240c6f799a3381eca228ca7bb98d746e",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"BioSynth Technologies","https://www.notion.so/BioSynth-Technologies-240c6f799a338107bfd8f0dd9bb05e84",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"Quantum Dynamics","https://www.notion.so/Quantum-Dynamics-240c6f799a3381919813f6d0e3488fd6",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"Nexus AI Labs","https://www.notion.so/Nexus-AI-Labs-240c6f799a3381cda249d3f59fc8309d",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13
"SkyAcres","https://www.notion.so/SkyAcres-23fc6f799a33811bb373ec277010dbd9",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13
"Stellantis LG Energy Solution BC","https://www.notion.so/Stellantis-LG-Energy-Solution-BC-23fc6f799a33815a9713def1a495e575",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13
"Flento","https://www.notion.so/Flento-23fc6f799a338163b381f20d468c5831",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13
"Abundant Intelligences","https://www.notion.so/Abundant-Intelligences-23fc6f799a3381f5ac1ce2d39d8e2afd",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13
"City of Richmond AI Strategy","https://www.notion.so/City-of-Richmond-AI-Strategy-23fc6f799a3381509eeaf8d3d206b6b8",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"City of Surrey AI Initiative","https://www.notion.so/City-of-Surrey-AI-Initiative-23fc6f799a3381029150faf5dc3126da",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"BC AI Assist Program","https://www.notion.so/BC-AI-Assist-Program-23fc6f799a33817f9effd3cfefab274a",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"BC Regional AI Initiative","https://www.notion.so/BC-Regional-AI-Initiative-23fc6f799a3381619022db94c076be74",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"DigiBC Creative Technology Association","https://www.notion.so/DigiBC-Creative-Technology-Association-23fc6f799a3381538746ee1da8fadb29",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"BC Regional AI Initiative Recipients","https://www.notion.so/BC-Regional-AI-Initiative-Recipients-23fc6f799a33819bac0fd316a92b8c07",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Microsoft Canada AI Hub","https://www.notion.so/Microsoft-Canada-AI-Hub-23fc6f799a3381be9128e260cb998df9",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"AI Network of British Columbia","https://www.notion.so/AI-Network-of-British-Columbia-23fc6f799a338181b0d0d1f15d6fea41",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"VAG AI Imitation Game Program","https://www.notion.so/VAG-AI-Imitation-Game-Program-23fc6f799a33819c9509c69697a06631",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"DigiBC Signals Program","https://www.notion.so/DigiBC-Signals-Program-23fc6f799a33816097c7e88be6c2cc38",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Stellar Code Lab","https://www.notion.so/Stellar-Code-Lab-23fc6f799a3381d98f76c5cf99a45e14",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"SFU Metacreation Lab for Creative AI","https://www.notion.so/SFU-Metacreation-Lab-for-Creative-AI-23fc6f799a33812a8213de318d6dfb1a",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Artificial Muse Music AI Residency","https://www.notion.so/Artificial-Muse-Music-AI-Residency-23fc6f799a3381ea96e4c920b4f5e0b2",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"ICCSMLAI Vancouver Sports Track","https://www.notion.so/ICCSMLAI-Vancouver-Sports-Track-23fc6f799a3381eaa212d090b77e7270",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"FLAIR BC Initiative","https://www.notion.so/FLAIR-BC-Initiative-23fc6f799a338105972af5291ba9504e",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"UBC Kwak'wala AI Immersion Project","https://www.notion.so/UBC-Kwak-wala-AI-Immersion-Project-23fc6f799a3381a0a2d6fce118349c76",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Indigenous Protocol and AI Working Group","https://www.notion.so/Indigenous-Protocol-and-AI-Working-Group-23fc6f799a33811e9b3ae74d7e2a374b",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"NEXT AI BC Companies","https://www.notion.so/NEXT-AI-BC-Companies-23fc6f799a3381f38f71f47fe1bd53e8",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Scale AI BC Recipients","https://www.notion.so/Scale-AI-BC-Recipients-23fc6f799a3381bb99b4e06406856531",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"DigiBC Creative AI Members","https://www.notion.so/DigiBC-Creative-AI-Members-23fc6f799a338193b79be19e18cc35c2",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"DigiBC Signals AI Showcase","https://www.notion.so/DigiBC-Signals-AI-Showcase-23fc6f799a3381398c2de340278f023e",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"RAII Grant Recipients 2025","https://www.notion.so/RAII-Grant-Recipients-2025-23fc6f799a3381e8bb83d81f112e5580",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"BC Fast Pilot AI Projects","https://www.notion.so/BC-Fast-Pilot-AI-Projects-23fc6f799a33818eb964da7b9a50ada9",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Circle Innovation Vancouver AI Community","https://www.notion.so/Circle-Innovation-Vancouver-AI-Community-23fc6f799a3381d6aafcf1e7f3d18b2c",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20
"Shape Immersive","https://www.notion.so/Shape-Immersive-23fc6f799a338146a3edfb5d2725cb1a",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,20
"Simform","https://www.notion.so/Simform-23fc6f799a338187b774d56056ed01a6",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,20
"Riverlane Solutions","https://www.notion.so/Riverlane-Solutions-240c6f799a33812eafb8e60854815e73",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Motive.io","https://www.notion.so/Motive-io-240c6f799a33812bbd95d51e2be18fb3",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Payfirma","https://www.notion.so/Payfirma-240c6f799a3381cf961fc98d19bb195a",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
